Doneáth, n; Moment
Meso, pro; 1st person pronoun, ergative case
Thkala, v; Succeed
Övon, v; Avoid
Mônda, n; Detection
Ngalso, v; Escape
Oçldal, n; Insanity
Kao, n; Crowd
Rou, v; Go
Töç, n; Narrow object
Ong, n; Street
Guon, n; Cloud
Cöto, n; Sky
Pêl, n; Night
Ston, v; Lose
Noso, pro; 3rd person pronoun, ergative case, neuter gender
Toloi, n; Red
Vosche, n; Stain
Nôlaâs, n; Purple
Def, conj; While
Ráröl, num; First
Ladên, n; Cold
Langpêl, n; Star
Pêdla, v; Shine
Meso, pro; 1st person pronoun, ergative case
Këso, v; Stand
Omi, prep; In front of, before
Sher; v; Rise
Isroes, n; Moon
Osk, conj; Until (then)
Devla, v; Find
Celonch, n; Emerald
Takan, v; Deliver
Kovu, n; Old
Lvana, n; Sister
Vês, n; Hand
Cho, v; Carry (an object)
Thkanod, quant; Everything
Chol, v; Steal
Mâseth, n; King
Brede, n; (Storage) chest
Kepa, num; Half (of)
Dohnea, v; Distribute, scatter
Ios, conj; Until (then)
Thôndengbre, n; Treasure
Am, v; Give
Söto, prep; On(top)
Ostnes, n; Stage, dance floor
