 656-09-30 | Devon and Corwall defeated at Gaulford, bring the region under Wessern authority.
 692-04-16 | Vigo of Angers is born to Maud of Angers, Queen Consort of the newly-unified Kingdom of Brittany.
 701-01-10 | Maud of Angers ascends to the throne of the unified Kernish Kingdoms (The Kingdom of Brittany), following the death of her husband.
 718-09-24 | Guinnumar, daughter of David I of Gwyneth, marries Vigo of Angers, Crown Prince of Brittany.
 717-02-05 | Signing of the Catumagin Accords ends hostilities between Brittany and the Franks, establishing a border.
 720-08-16 | Death of Maud of Angers, Queen of Brittany.
 720-12-09 | Coronation of Vigo of Angers as King of Brittany upon the death of his mother Maud of Angers. (Vigo Magnificens, Rex Brittorum)
 726-08-10 | King Vigo of Brittany launches reconquest of Devon.
 747-11-13 | Kingdom of Wessex is defeated at Battle of Petherton; Kingdom of Brittany assumes control of Devon.
 748-03-19 | Vigo Magnificens, King of Brittany, crowned rex Magnæ Dumnoniæ (King of Great Dumnonia), unifying Devon and Kernow.
 761-10-31 | Death of King Vigo of Great Dumnonia.
 761-11-18 | Cadern I of Great Dumnonia is crowned, following the death of his father Vigo Magnificens.
 765-08-14 | Brethin Order founded in Tremonow (in Quent) with patronage from Iseld, daughter of Vigo the Magnificent.
 928-05-20 | Danish forces break the siege on Eidin [Edinburgh], annexing it to the Kingdom of Northumbria.
 934-01-16 | Strathclyde launches an invasion of Sodrick Arran.
 942-04-09 | Mann, capital of Soder, annexed by the Kingdom of Strathclyde.
 943-01-29 | Radulf Magnusson of York marries Atre of Keswick, daughter of King Rodrick of Strathclyde.
 951-08-11 | Radulf Magnusson crowned King of Northumbria, succeeding his uncle.
 960-07-23 | Wimond of Dunkirk ascends to Duke of Normandy. 
 980-03-01 | Saint Victor of Dunkirk, a member of the Brethin of Kernow, dies during the Norman succession crisis after Duke Wimond's death.
1086-10-15 | Branimir of the House of Domago, Duke of Croatia, deposed in a coup by his family due to his favouring of his Brethin advisors.
1199-10-31 | Pope Damian VI, member of the Brethin of Kernow, elected.
1214-04-04 | Pope Damian VI dies.
1232-08-25 | Catrin of Kernow assassinated in the Solfoy Church in Ausbagn-.
1292-05-08 | Chronicle "Y Við a Catrin de Cornou" (The Life of Catrin of Kernow) written in Borland. The first longform work in Borlish written about a layperson.
1367-07-18 | Metallic jast isolated in pure form in Bengal.
1409-11-16 | New School at Vithor, Borland is founded.
1435-03-17 | Ambrose of Vascony is born, future King Ambrose III of Vascony.
1456-03-21 | Coronation of King Ambrose III of Vascony, at age 21.
1458-09-18 | King Ambrose III of Vascony establishes the New Navarre Enterprise, a trading company.
1471-05-31 | Susanna, ship of the New Navarre Enterprise, lands on the coast of Varte Berria/Tacameco in Mendeva.
1492-09-14 | Myton San Tomé stops at Brest en route from Port Calè to Damvath.
1492-09-18 | Battle at Bournemouth, part of the Wars of Fealty, prevents myton San Tomé from entering harbour.
1499-03-31 | Vascon voyage to Mendeva taking Princess Alexandra leaves from Bordew.
1499-07-02 | Vascon Mendevan voyage with Princess Alexandra arrives in Mendeva.
1501-06-19 | Battle of Margès takes place, the final battle of the War of Provincial Independence.
1501-06-21 | Declaration of the independant Republic of Provence.
1502-06-07 | Scurvy discovered to be a dietary illness as a result of Alexandra of Vascony's voyage.
1502-08-19 | Ambrose III orders various foods to be taken on long voyages to test their effectiveness against scurvy.
1505-06-13 | King Andrew of Mercia introduced to Thieves' Script, a coded method of communication, and authorises its use by his forces in the Wars of Fealty.
1507-10-10 | Vascon project to combat scurvy discovers that citrus fruits are most effective.
1512-11-11 | After several deaths to a luetic pox [syphilis], St Matthew's Monastery in Bonn banishes all animals from the grounds and (unsuccessfully) from the neighbouring village.
1515-02-01 | Due to rising costs, Vascon ship no longer take oranges on long voyages.
1518-02-28 | Death of King Ambrose III of Vascony, age 83, the longest-reigning monarch in Vascon history, ruling for 62 years.
