Alexandra of Vascony | sister of Ambrose III, she was the first European royal to set foot in the Novamund
Ambrose III of Vascony | (17 March 1435 - 29 February 1518) King of Vascony from 1456 until his death, the longest ruler in Vascon history (Vascon Ambròix)
Hisham Al-Rashid of Libya | King/Malik of Libya (reigned 1601-1610)
David Bensaíd | Vascon writer, wrote political treatise on statecraft The Three Cities, which was translated into over twenty languages
Chiarina Bruno | Venetian opera composer, wrote 1824 opera Ali in Fiamme “Wings Afire” (a retelling of the story of Icarus which famously takes place entirely after the events of the myth)
Jacomo Bruno | Venetian, brother of Chiarina Bruno, fought in the Second German War alongside Borlish soldiers
Elsebeth Schneider | Saxon author from Lepzi, she wrote 1795b novel Through a Black Mirror (Durgh enn Swarzen Spiegel), an early parachthon romance which sparked the Voidtale fashion
Pope Damian VI | was Roman pope (1149-1164), the first member of the Brethin of Kernow to attain the position
Victor of Dunkirk | tenth-century saint, died during the Norman succession crisis after Duke Wimond's death
Wimond of Dunkirk | Duke of Normandy from 960 N, his death led to a succession crisis
Branimir of Domago | Duke of Crovatia, he was ousted in 1086 by his family
Silvo Maresca | filmmaker, produced 1931 film "Bitter Fruit" (Frutto Amaro) covering Venice in the time of the Second Great Dying
Simon d’Estiala | Provincial author, wrote 1980 book "New Skies, Old Stories" on parachthon romance
