adamant | titanium
aeronaut | airship
air-steeple | telegraphy post on a balloon
alchemick | chemical, relating to chemistry
alchemist | chemist
alchemy | chemistry
aldreman | mayor, municipal leader
alluning | moon landing
aphlox | carbon dioxide, also carbonic acid as a liquid
aquifex | hydrogen
arithmat | computing
astrapic | electric, electromagnetic
aumond | almond
autonome | autonomous, unauthorised
autune | sparkling wine, esp. from the Autun region
bdella | virus
billrod | cochineal, a crimson dye produced from the shell of an insect and imported from Lower Mendeva
bit-sheet | tabloid, cheap newspaper
blacklair | horror, media intent to scare
blankpine | white pine, Weymouth pine
bookhouse | library
brimstone | sulfur
caddar | to distil, purify, extract
calamine | zinc oxide
case | cell
casting | publishing
chain substance | polymer
chimer | chimera, hybrid
christmas pie | savoury pie eating on Revillon across Northern Europe but especially in Borland
circular function | trigonometric function
clavier | keyboard, piano
cmm disk | vinyl record
cmm | "chain muriac mitigor", polyvinyl chloride, PVC
codnere | kidney
collocker | interviewer, investigator
collock | chat, dialogue, interview, conversation
collusion | collaboration, confederation
concord | treaty, agreement
concrescence | instantiation, model, prototype
concurrence history | history of a particular time period
conjure | to conspire, to collude
connit | disguise, inconspicuousness, secretiveness; hiding place
connock | ice skating
console | leader of merchant republic, esp. Genoa
convoker | representive, PR person
convoy | troop, division, band of soldier
copperplate | right-wing
coppers | cheap seats, nose-bleeds, lowest-quality product
copysheet | study notes
coronal | helium
corporal quillsam | periodic table, set of chemical elements
coshow | rubber, esp. natural rubber, latex
costumery | clothing catalogue
coswer | cousin
counter-zoic | antimicrobial
covring | (maths) surjection, surjective map
dackin | indigo
daily gyre | circadian rhythm, body clock
daplight | LED
davarn | grand hotel, resort
deficient | positively charged
deixism | approach to research focused on collecting primary sources and references
deixist | researcher, archivist
detaxion | synthesis, combining, esp. in chemistry
dominium | region of control, domain, demesne
druckdue | the silver screen, cinema
drypepper | peppercorns, black peppercorns
edition | publishing, publication
ersteigung | apex, crest, sforzando, peak, climax
excourse | competition, tournament, quiz, game
extent | field (physics)
fecundation | fertilisation
fendle | fennel
filmic | cinematic
geoscopic | exploratory, cartographic, intending to see the world
giftale | media set in or taking aesthetic inspiration from Italy
grade | separate, sort in categories
green snowfall | first snowfall of the new year (after the first of March)
guild | corporation, company
gum | rubber, esp. synthetic rubber
gyre | orbit, cycle; to orbit, to ring around-
herdtale | agricultural stories and songs of mid-19C Gulf Mendeva
heredian acid | DNA (also shortened to heredian)
hereditarian | genetic
hereditature | genome, DNA
heredity | genetics
heverrath | bicycle, velocipede
hever | lever, pedal, also the verb
hourchain | rosary, armilla
hydromotor light | microwave radiation
iamb 5' | iambic pentameter
icon | photo, photgraph
igniac | oxide
ignifex | oxygen
indreck | nonprofit, charity
in peripatetico | abroad, on an exchange, on a sabbatical
in tesquo | in the wild, in practice, in real life
Iscovalian variation | evolution by natural selection
jalick | tuxedo, high formalwear
jast | zinc
kenonaut | spaceship
kernel | cell nucleus
kester | beggar, panhandle
lacker | veneer, false surface
laic | secular, irreligious, oecumenical
lampfire | naked flame used as a light source
leavingstore | gift shop, shop for trinkets
lencorve | line of credit, tab
limmon | lemon
lineball | team ballgame, resembling (soccer) football or rugby
lithing | account, list, enumeration
lodginghouse | waystop, inn, traveller's rest
longform light | radio waves
lorrer leaf | bay leaf
lovetale | romance writing
luetic pox | syphilis
lux | radiation, elementary particle
machinal | automatic, by rote
machovine | strontium
manner | property, nature
mapbook | atlas
masquira | genre of stories typically featuring vigilante characters and plots driven by hidden identities, high society and complicated schemes. It has some overlap with the later spycraft genre, especially in modern works.
matching | (maths) bijection, bijective map
mechanics | dynamics, physics of motion and collision
mecon | metre (length of pendulum with halfperiod 1 second 
melee | high society, the gentry (old-fashioned), the ton, the activities of the gentry
meshforum | online community
mesh | network
methodics | computer science, programming
ministry | department, ministry, bureau
mitigor | ethene, ethylene, C2H4
modest | socially conservative, with respect to family, children and gender relations
moneypurse | wallet, purse
mozardisto | member of a populist faction involved in the Second German War primarily made up of Andalusian Christians but expanding in scope, especially towards the end of the war.
mozard | populist, antiestablishment
muriac | chloride
muria | chlorine
myton | type of merchant ship in wide use during the late fifteenth century
namecard | ID, nametag
narjill | coconut
natron | sodium
normal nawat | Classical Nahuatl
normal speed | lightspeed, œ
nucalic acid | DNA (see heredian acid)
odyssey | cinema, movie theatre
oeculux | electromagnetic radiation
oecumen | landscape, outlook, overview, universe
one-case | single-celled
one-zeffre | binary, one-bit, digital
onyx lace | shell pasta, conchiglie
ostracon | lottery, sortition
parachthon | speculative, science fiction and fantasy (of stories)
penetrating light | X-ray radiation
petersly | parsley
plenty | electric charge
poise | currency of Britain as of 1950 N
prase | administrative head of ancient and modern Borlish government
propagant | wave-like
prosequent | descendant, progeny, something proceeding from a source, accompaniment
pseudogum | synthetic rubber
quanga | butler, esp in East Asian context; secretary, PA
quasipolitic guild | multinational megacorporation
quasipolitic | resembling a nation or polity
quaterno | textbook, handbook, primer
quill | source, spring, basis, foundation, (maths) domain
quire | reference book, textbook
quister | phone, telephone
quist | to call, to phone
raincatcher | gazebo, free-standing roofed structure without walls
rath | bike
reckoning | arithmetic, counting
redirection bank | switchboard
refettorio | refectory, cafeteria, mess hall
replacement code | substitution cipher
revillon | christmas eve
romance | story, tale, fiction
sam | set, group of things, (maths) set
sandrine | vitamin C, ascorbic acid
scattering light | ionising radiation
scattering | ionising
scitation | examination, test, exam
scole | school, college
scratcher | (colloq.) journalist, reporter, writer
sevring | (maths) injection, injective map
shadome | tomato
shortform light | gamma radiation
signum | macron, long diacritic
sithing | (in mathematics) function, assignment
slate | display, screen
sodality | group, club, association
sodal | member, element
solarium | sunroom, seaside resort
songcraft | music, composition, music theory
sorty | party, get-together, do
spycraft | espionage, spywork; also a genre of fiction
staddomain | trade colony, colony for the purposes of resource production, esp. those colonies of the Stadbund in Cappatia and Africa
starce | coin used in mediæval Borland
stauron retainer | intra-uterine device
steeplecard | telegram
steeplemesh | telegraph network
steeplepost | telegraphy
steeplescript | analogous to Morse Code, with four symbols
steward | deputy, second-in-command
sticket | label, tag
subcase construct | organelle
subrussic light | infrared light
sufficient | negatively charged
surblavic light | UV light
switcher | one working at a redirection bank
tachslate | touchscreen device
tachygraph | typewriter
tallath | province, region (esp. of Britain)
tapestry | big screen, billboard, film screen
tapper | telegraph operator
tartoffer | potato
technic | technical, scientific
Tellard book | atlas (archaic)
tender | barman, bartender
tenyear | decade
the hex hours | the small hours, the middle of the night
threepoint method | triangulation
threshold force | nuclear fission power
threshold mill | nuclear power plant
timehold | marine chronometer
tinplate | left-wing
Tiong loom | Jacquard loom
toriot | large wind instrument with roughly the range of the bassoon
totalism | absolute monarchy
totalist | absolute, authoritarian
tovarick | homosexual
tovarism | homosexuality
trevold | novel, story
trone | currency of Provence as of 1950 N
ubiquity | cultural supremacy, totalist ideology
veck | bus
vectory | bus, omnibus
veldsvindung | global economic recession, depression
viker | steward, affairs manager, right-hand man
vittles | diet, food intake
voidtale | story set in space
void | outer spaceship
walkway | pedestrian footpath, esp in urban context
wares | ingredients, apparatus
wayport | supply point along the coast for long naval voyages
weekly | a weekly newspaper
well-mint | well-off, prosperous, wealthy
whitefish | white fish
workshop manufacture | industrial production
xanthal | neon
xenic | alien, extraterrestrial
xenozone | alien, extraterrestrial being
yacht | cult, secret society
yatherpot | casserole, one-pot dish
yearturning | the New Year
zest | vibe, morsel, speculation, suspicion
zetter | note, memo
zoia | microorganism
